mode: set
permen_api/pkg/binder/binder.go:18.49,22.16 3 1
permen_api/pkg/binder/binder.go:201.75,203.54 2 1
permen_api/pkg/binder/binder.go:203.54,205.3 1 1
permen_api/pkg/binder/binder.go:207.2,208.38 2 1
permen_api/pkg/binder/binder.go:208.38,210.3 1 1
permen_api/pkg/binder/binder.go:212.2,214.43 2 1
permen_api/pkg/binder/binder.go:214.43,218.25 3 1
permen_api/pkg/binder/binder.go:218.25,219.12 1 1
permen_api/pkg/binder/binder.go:223.3,224.16 2 1
permen_api/pkg/binder/binder.go:224.16,226.4 1 1
permen_api/pkg/binder/binder.go:229.3,229.48 1 1
permen_api/pkg/binder/binder.go:229.48,231.4 1 1
permen_api/pkg/binder/binder.go:234.3,235.34 2 1
permen_api/pkg/binder/binder.go:235.34,236.12 1 1
permen_api/pkg/binder/binder.go:239.3,239.68 1 1
permen_api/pkg/binder/binder.go:239.68,241.4 1 0
permen_api/pkg/binder/binder.go:244.2,244.12 1 1
permen_api/pkg/binder/binder.go:248.64,249.25 1 1
permen_api/pkg/binder/binder.go:250.22,251.28 1 1
permen_api/pkg/binder/binder.go:252.78,254.17 2 1
permen_api/pkg/binder/binder.go:254.17,256.4 1 1
permen_api/pkg/binder/binder.go:257.3,257.26 1 1
permen_api/pkg/binder/binder.go:258.83,260.17 2 1
permen_api/pkg/binder/binder.go:260.17,262.4 1 1
permen_api/pkg/binder/binder.go:263.3,263.28 1 1
permen_api/pkg/binder/binder.go:264.40,266.17 2 1
permen_api/pkg/binder/binder.go:266.17,268.4 1 1
permen_api/pkg/binder/binder.go:269.3,269.30 1 1
permen_api/pkg/binder/binder.go:270.20,272.17 2 1
permen_api/pkg/binder/binder.go:272.17,274.4 1 1
permen_api/pkg/binder/binder.go:275.3,275.28 1 1
permen_api/pkg/binder/binder.go:277.2,277.12 1 1
permen_api/pkg/binder/binder.go:281.77,282.25 1 1
permen_api/pkg/binder/binder.go:283.22,284.39 1 1
permen_api/pkg/binder/binder.go:284.39,286.4 1 1
permen_api/pkg/binder/binder.go:287.78,288.28 1 1
permen_api/pkg/binder/binder.go:289.16,290.29 1 1
permen_api/pkg/binder/binder.go:291.12,292.29 1 1
permen_api/pkg/binder/binder.go:293.14,294.22 1 1
permen_api/pkg/binder/binder.go:295.15,296.62 1 1
permen_api/pkg/binder/binder.go:296.62,298.5 1 1
permen_api/pkg/binder/binder.go:300.83,301.28 1 1
permen_api/pkg/binder/binder.go:302.16,303.31 1 1
permen_api/pkg/binder/binder.go:304.13,305.31 1 1
permen_api/pkg/binder/binder.go:306.15,307.23 1 1
permen_api/pkg/binder/binder.go:308.15,309.64 1 1
permen_api/pkg/binder/binder.go:309.64,311.5 1 1
permen_api/pkg/binder/binder.go:313.40,314.28 1 1
permen_api/pkg/binder/binder.go:315.16,316.24 1 1
permen_api/pkg/binder/binder.go:317.16,318.33 1 1
permen_api/pkg/binder/binder.go:319.15,320.62 1 1
permen_api/pkg/binder/binder.go:320.62,322.5 1 1
permen_api/pkg/binder/binder.go:324.20,325.38 1 1
permen_api/pkg/binder/binder.go:325.38,327.4 1 1
permen_api/pkg/binder/binder.go:328.21,329.45 1 1
permen_api/pkg/binder/binder.go:329.45,332.31 3 1
permen_api/pkg/binder/binder.go:332.31,334.5 1 1
permen_api/pkg/binder/binder.go:335.4,335.26 1 1
permen_api/pkg/binder/binder.go:337.19,338.55 1 1
permen_api/pkg/binder/binder.go:338.55,341.29 3 1
permen_api/pkg/binder/binder.go:341.29,346.5 4 1
permen_api/pkg/binder/binder.go:347.4,347.24 1 1
permen_api/pkg/binder/binder.go:349.22,350.55 1 1
permen_api/pkg/binder/binder.go:350.55,352.4 1 1
permen_api/pkg/binder/binder.go:353.19,354.19 1 1
permen_api/pkg/binder/binder.go:354.19,358.4 3 1
permen_api/pkg/binder/binder.go:360.2,360.12 1 1
permen_api/validation/validator.go:27.13,29.70 2 1
permen_api/validation/validator.go:29.70,31.18 2 1
permen_api/validation/validator.go:31.18,33.4 1 1
permen_api/validation/validator.go:34.3,34.14 1 1
permen_api/validation/validator.go:37.2,43.32 6 1
permen_api/validation/validator.go:43.32,45.4 1 1
permen_api/validation/validator.go:46.58,49.4 2 1
permen_api/validation/validator.go:54.2,54.80 1 1
permen_api/validation/validator.go:54.80,56.10 2 1
permen_api/validation/validator.go:56.10,58.4 1 1
permen_api/validation/validator.go:60.3,66.42 5 1
permen_api/validation/validator.go:66.42,70.18 3 1
permen_api/validation/validator.go:70.18,72.5 1 0
permen_api/validation/validator.go:73.4,73.39 1 1
permen_api/validation/validator.go:74.9,74.49 1 1
permen_api/validation/validator.go:74.49,78.18 3 1
permen_api/validation/validator.go:78.18,80.5 1 0
permen_api/validation/validator.go:81.4,81.32 1 1
permen_api/validation/validator.go:82.9,85.18 2 1
permen_api/validation/validator.go:85.18,87.5 1 0
permen_api/validation/validator.go:90.3,90.30 1 1
permen_api/validation/validator.go:93.2,93.122 1 1
permen_api/validation/validator.go:93.122,95.3 1 1
permen_api/validation/validator.go:98.2,98.82 1 1
permen_api/validation/validator.go:98.82,100.10 2 1
permen_api/validation/validator.go:100.10,102.4 1 0
permen_api/validation/validator.go:104.3,106.29 3 1
permen_api/validation/validator.go:106.29,107.56 1 1
permen_api/validation/validator.go:107.56,109.5 1 1
permen_api/validation/validator.go:112.3,112.15 1 1
permen_api/validation/validator.go:115.2,115.113 1 1
permen_api/validation/validator.go:115.113,117.3 1 0
permen_api/validation/validator.go:121.2,121.82 1 1
permen_api/validation/validator.go:121.82,123.10 2 1
permen_api/validation/validator.go:123.10,125.4 1 1
permen_api/validation/validator.go:126.3,126.18 1 1
permen_api/validation/validator.go:126.18,128.4 1 1
permen_api/validation/validator.go:130.3,131.31 2 1
permen_api/validation/validator.go:134.2,134.132 1 1
permen_api/validation/validator.go:134.132,136.3 1 1
permen_api/validation/validator.go:139.2,139.79 1 1
permen_api/validation/validator.go:139.79,144.34 3 1
permen_api/validation/validator.go:144.34,146.4 1 1
permen_api/validation/validator.go:149.3,150.20 2 1
permen_api/validation/validator.go:153.2,153.124 1 1
permen_api/validation/validator.go:153.124,155.3 1 0
permen_api/validation/validator.go:159.2,159.83 1 1
permen_api/validation/validator.go:159.83,161.20 2 1
permen_api/validation/validator.go:161.20,163.4 1 1
permen_api/validation/validator.go:166.3,167.27 2 1
permen_api/validation/validator.go:167.27,170.116 2 0
permen_api/validation/validator.go:170.116,173.5 2 0
permen_api/validation/validator.go:177.3,179.32 3 1
permen_api/validation/validator.go:179.32,181.4 1 1
permen_api/validation/validator.go:183.3,184.22 2 1
permen_api/validation/validator.go:184.22,186.4 1 1
permen_api/validation/validator.go:189.3,192.33 3 1
permen_api/validation/validator.go:192.33,194.4 1 1
permen_api/validation/validator.go:197.3,197.62 1 1
permen_api/validation/validator.go:200.2,200.127 1 1
permen_api/validation/validator.go:200.127,202.3 1 0
permen_api/validation/validator.go:206.2,206.85 1 1
permen_api/validation/validator.go:206.85,208.22 2 1
permen_api/validation/validator.go:208.22,210.4 1 1
permen_api/validation/validator.go:213.3,214.25 2 1
permen_api/validation/validator.go:214.25,217.117 2 0
permen_api/validation/validator.go:217.117,220.5 2 0
permen_api/validation/validator.go:224.3,226.30 3 1
permen_api/validation/validator.go:226.30,228.4 1 0
permen_api/validation/validator.go:230.3,231.20 2 1
permen_api/validation/validator.go:231.20,233.4 1 1
permen_api/validation/validator.go:236.3,239.33 3 1
permen_api/validation/validator.go:239.33,241.4 1 1
permen_api/validation/validator.go:244.3,244.63 1 1
permen_api/validation/validator.go:247.2,247.131 1 1
permen_api/validation/validator.go:247.131,249.3 1 0
permen_api/validation/validator.go:255.2,255.82 1 1
permen_api/validation/validator.go:255.82,259.28 3 1
permen_api/validation/validator.go:259.28,261.4 1 1
permen_api/validation/validator.go:264.3,266.29 3 1
permen_api/validation/validator.go:266.29,268.4 1 1
permen_api/validation/validator.go:270.3,273.46 2 1
permen_api/validation/validator.go:273.46,275.4 1 1
permen_api/validation/validator.go:278.3,278.93 1 1
permen_api/validation/validator.go:278.93,280.4 1 1
permen_api/validation/validator.go:283.3,284.39 2 1
permen_api/validation/validator.go:284.39,286.4 1 1
permen_api/validation/validator.go:289.3,290.20 2 1
permen_api/validation/validator.go:293.2,293.162 1 1
permen_api/validation/validator.go:293.162,295.3 1 0
permen_api/validation/validator.go:298.2,298.77 1 1
permen_api/validation/validator.go:298.77,300.10 2 1
permen_api/validation/validator.go:300.10,302.4 1 0
permen_api/validation/validator.go:305.3,306.34 2 1
permen_api/validation/validator.go:309.2,309.111 1 1
permen_api/validation/validator.go:309.111,311.3 1 0
permen_api/validation/validator.go:314.2,314.76 1 1
permen_api/validation/validator.go:314.76,316.10 2 1
permen_api/validation/validator.go:316.10,318.4 1 0
permen_api/validation/validator.go:319.3,319.18 1 1
permen_api/validation/validator.go:319.18,321.4 1 1
permen_api/validation/validator.go:324.3,325.32 2 1
permen_api/validation/validator.go:325.32,327.4 1 1
permen_api/validation/validator.go:330.3,331.20 2 1
permen_api/validation/validator.go:334.2,334.154 1 1
permen_api/validation/validator.go:334.154,336.3 1 0
permen_api/validation/validator.go:339.2,339.81 1 1
permen_api/validation/validator.go:339.81,341.10 2 1
permen_api/validation/validator.go:341.10,343.4 1 0
permen_api/validation/validator.go:344.3,344.18 1 1
permen_api/validation/validator.go:344.18,346.4 1 1
permen_api/validation/validator.go:349.3,350.34 2 1
permen_api/validation/validator.go:353.2,353.141 1 1
permen_api/validation/validator.go:353.141,355.3 1 0
permen_api/validation/validator.go:359.89,360.45 1 1
permen_api/validation/validator.go:360.45,362.3 1 1
permen_api/validation/validator.go:363.2,363.68 1 1
permen_api/validation/validator.go:363.68,367.17 4 1
permen_api/validation/validator.go:367.17,369.4 1 0
permen_api/validation/validator.go:370.3,370.11 1 1
permen_api/validation/validator.go:373.2,373.66 1 1
permen_api/pkg/janitor/janitor.go:42.107,43.20 1 1
permen_api/pkg/janitor/janitor.go:43.20,45.3 1 1
permen_api/pkg/janitor/janitor.go:47.2,54.33 3 1
permen_api/pkg/janitor/janitor.go:54.33,60.3 1 1
permen_api/pkg/janitor/janitor.go:63.2,63.25 1 1
permen_api/pkg/janitor/janitor.go:63.25,68.3 4 1
permen_api/pkg/janitor/janitor.go:70.2,70.10 1 1
permen_api/pkg/janitor/janitor.go:74.50,79.2 3 1
permen_api/pkg/janitor/janitor.go:82.80,88.30 5 1
permen_api/pkg/janitor/janitor.go:88.30,90.3 1 1
permen_api/pkg/janitor/janitor.go:91.2,91.13 1 1
permen_api/pkg/janitor/janitor.go:91.13,93.3 1 1
permen_api/pkg/janitor/janitor.go:96.2,96.38 1 1
permen_api/pkg/janitor/janitor.go:96.38,104.3 6 1
permen_api/pkg/janitor/janitor.go:104.8,110.3 4 1
permen_api/pkg/janitor/janitor.go:113.2,113.61 1 1
permen_api/pkg/janitor/janitor.go:113.61,115.3 1 1
permen_api/pkg/janitor/janitor.go:119.45,125.9 5 1
permen_api/pkg/janitor/janitor.go:125.9,127.3 1 1
permen_api/pkg/janitor/janitor.go:129.2,132.68 2 1
permen_api/pkg/janitor/janitor.go:132.68,135.3 2 1
permen_api/pkg/janitor/janitor.go:138.2,139.25 2 1
permen_api/pkg/janitor/janitor.go:143.36,148.38 4 1
permen_api/pkg/janitor/janitor.go:148.38,150.3 1 1
permen_api/pkg/janitor/janitor.go:155.37,157.17 2 1
permen_api/pkg/janitor/janitor.go:157.17,159.3 1 1
permen_api/pkg/janitor/janitor.go:164.53,168.2 3 1
permen_api/pkg/janitor/janitor.go:181.33,184.6 3 1
permen_api/pkg/janitor/janitor.go:184.6,185.10 1 1
permen_api/pkg/janitor/janitor.go:186.19,187.21 1 1
permen_api/pkg/janitor/janitor.go:188.17,189.10 1 1
permen_api/pkg/janitor/janitor.go:194.33,196.33 2 1
permen_api/pkg/janitor/janitor.go:196.33,201.38 3 1
permen_api/pkg/janitor/janitor.go:201.38,203.52 2 1
permen_api/pkg/janitor/janitor.go:203.52,205.5 1 1
permen_api/pkg/janitor/janitor.go:209.3,209.36 1 1
permen_api/pkg/janitor/janitor.go:209.36,210.40 1 1
permen_api/pkg/janitor/janitor.go:210.40,212.5 1 1
permen_api/pkg/janitor/janitor.go:215.3,215.20 1 1
permen_api/pkg/janitor/janitor.go:219.28,220.22 1 1
permen_api/pkg/janitor/janitor.go:220.22,222.3 1 1
permen_api/pkg/janitor/janitor.go:225.24,227.2 1 1
permen_api/pkg/bcrypt/bcrypt.go:37.52,40.43 2 1
permen_api/pkg/bcrypt/bcrypt.go:40.43,42.3 1 0
permen_api/pkg/bcrypt/bcrypt.go:45.2,69.25 5 1
permen_api/pkg/bcrypt/bcrypt.go:74.59,77.16 2 1
permen_api/pkg/bcrypt/bcrypt.go:77.16,79.3 1 1
permen_api/pkg/bcrypt/bcrypt.go:82.2,92.57 2 1
permen_api/pkg/bcrypt/bcrypt.go:104.76,106.21 2 1
permen_api/pkg/bcrypt/bcrypt.go:106.21,108.3 1 1
permen_api/pkg/bcrypt/bcrypt.go:111.2,111.28 1 1
permen_api/pkg/bcrypt/bcrypt.go:111.28,113.3 1 1
permen_api/pkg/bcrypt/bcrypt.go:116.2,118.16 3 1
permen_api/pkg/bcrypt/bcrypt.go:118.16,120.3 1 1
permen_api/pkg/bcrypt/bcrypt.go:121.2,121.31 1 1
permen_api/pkg/bcrypt/bcrypt.go:121.31,123.3 1 0
permen_api/pkg/bcrypt/bcrypt.go:126.2,129.16 4 1
permen_api/pkg/bcrypt/bcrypt.go:129.16,131.3 1 0
permen_api/pkg/bcrypt/bcrypt.go:134.2,135.16 2 1
permen_api/pkg/bcrypt/bcrypt.go:135.16,137.3 1 1
permen_api/pkg/bcrypt/bcrypt.go:140.2,141.16 2 1
permen_api/pkg/bcrypt/bcrypt.go:141.16,143.3 1 0
permen_api/pkg/bcrypt/bcrypt.go:145.2,152.32 2 1
permen_api/pkg/bcrypt/bcrypt.go:157.132,159.43 2 1
permen_api/pkg/bcrypt/bcrypt.go:159.43,161.3 1 0
permen_api/pkg/bcrypt/bcrypt.go:163.2,185.25 5 1
permen_api/errors/error_types.go:31.40,33.2 1 1
permen_api/errors/error_types.go:35.48,37.2 1 1
permen_api/errors/error_types.go:39.42,41.2 1 1
permen_api/errors/error_types.go:43.46,45.2 1 1
permen_api/errors/error_types.go:47.47,49.2 1 1
permen_api/errors/error_types.go:51.46,53.2 1 1
permen_api/errors/error_types.go:55.42,57.2 1 1
permen_api/helper/regexp/regexp.go:20.31,22.2 1 1
permen_api/helper/regexp/regexp.go:25.29,27.2 1 1
permen_api/helper/regexp/regexp.go:30.32,32.2 1 1
permen_api/helper/regexp/regexp.go:34.30,36.2 1 1
permen_api/helper/regexp/regexp.go:39.31,41.2 1 1
permen_api/helper/regexp/regexp.go:44.35,46.2 1 1
permen_api/helper/regexp/regexp.go:49.31,51.2 1 1
permen_api/helper/regexp/regexp.go:54.31,56.2 1 1
permen_api/pkg/encryptor/encryptor.go:25.51,29.71 2 1
permen_api/pkg/encryptor/encryptor.go:29.71,31.3 1 1
permen_api/pkg/encryptor/encryptor.go:33.2,35.8 1 1
permen_api/pkg/encryptor/encryptor.go:39.67,42.16 2 1
permen_api/pkg/encryptor/encryptor.go:42.16,44.3 1 0
permen_api/pkg/encryptor/encryptor.go:47.2,48.16 2 1
permen_api/pkg/encryptor/encryptor.go:48.16,50.3 1 0
permen_api/pkg/encryptor/encryptor.go:52.2,52.23 1 1
permen_api/pkg/encryptor/encryptor.go:56.74,59.66 2 1
permen_api/pkg/encryptor/encryptor.go:59.66,61.3 1 1
permen_api/pkg/encryptor/encryptor.go:64.2,65.16 2 1
permen_api/pkg/encryptor/encryptor.go:65.16,67.3 1 0
permen_api/pkg/encryptor/encryptor.go:69.2,69.23 1 1
permen_api/pkg/encryptor/encryptor.go:73.83,76.16 2 1
permen_api/pkg/encryptor/encryptor.go:76.16,78.3 1 0
permen_api/pkg/encryptor/encryptor.go:81.2,81.66 1 1
permen_api/pkg/encryptor/encryptor.go:81.66,83.3 1 0
permen_api/pkg/encryptor/encryptor.go:85.2,85.12 1 1
permen_api/pkg/encryptor/encryptor.go:89.79,92.16 2 1
permen_api/pkg/encryptor/encryptor.go:92.16,94.3 1 0
permen_api/pkg/encryptor/encryptor.go:97.2,98.65 2 1
permen_api/pkg/encryptor/encryptor.go:98.65,100.3 1 0
permen_api/pkg/encryptor/encryptor.go:102.2,102.23 1 1
permen_api/pkg/encryptor/encryptor.go:106.63,109.16 2 1
permen_api/pkg/encryptor/encryptor.go:109.16,111.3 1 0
permen_api/pkg/encryptor/encryptor.go:114.2,115.16 2 1
permen_api/pkg/encryptor/encryptor.go:115.16,117.3 1 0
permen_api/pkg/encryptor/encryptor.go:120.2,121.59 2 1
permen_api/pkg/encryptor/encryptor.go:121.59,123.3 1 0
permen_api/pkg/encryptor/encryptor.go:126.2,129.59 2 1
permen_api/pkg/encryptor/encryptor.go:133.67,136.16 2 1
permen_api/pkg/encryptor/encryptor.go:136.16,138.3 1 1
permen_api/pkg/encryptor/encryptor.go:141.2,142.16 2 1
permen_api/pkg/encryptor/encryptor.go:142.16,144.3 1 0
permen_api/pkg/encryptor/encryptor.go:147.2,148.16 2 1
permen_api/pkg/encryptor/encryptor.go:148.16,150.3 1 0
permen_api/pkg/encryptor/encryptor.go:153.2,154.27 2 1
permen_api/pkg/encryptor/encryptor.go:154.27,156.3 1 1
permen_api/pkg/encryptor/encryptor.go:159.2,163.16 3 1
permen_api/pkg/encryptor/encryptor.go:163.16,165.3 1 0
permen_api/pkg/encryptor/encryptor.go:167.2,167.31 1 1
permen_api/pkg/encryptor/encryptor.go:176.13,178.16 2 1
permen_api/pkg/encryptor/encryptor.go:178.16,179.71 1 0
permen_api/pkg/encryptor/encryptor.go:181.2,181.23 1 1
permen_api/pkg/encryptor/encryptor.go:185.44,187.16 2 1
permen_api/pkg/encryptor/encryptor.go:187.16,189.3 1 1
permen_api/pkg/encryptor/encryptor.go:190.2,191.12 2 1
permen_api/pkg/encryptor/encryptor.go:195.52,197.2 1 1
permen_api/pkg/encryptor/encryptor.go:200.59,202.2 1 1
permen_api/pkg/encryptor/encryptor.go:205.68,207.2 1 1
permen_api/pkg/encryptor/encryptor.go:210.64,212.2 1 1
permen_api/pkg/encryptor/encryptor.go:215.48,217.2 1 1
permen_api/pkg/encryptor/encryptor.go:220.52,222.2 1 1
